journal,quartile,quartile_source
3D Printing in Medicine,Q2,SCImago 2025
A and A Practice,Q4,SCImago 2025
AAC: Augmentative and Alternative Communication,Q2,SCImago 2025
AACE Endocrinology and Diabetes,Q4,SCImago 2025
AACN Advanced Critical Care,Q2,SCImago 2025
AAO Journal,Q4,SCImago 2025
AAPS PharmSciTech,Q2,SCImago 2025
Abdominal Radiology,Q1,SCImago 2025
Academia Biology,Q4,SCImago 2025
Academic Emergency Medicine,Q1,SCImago 2025
Academic Forensic Pathology,Q3,SCImago 2025
Academic Journal of Naval Medical University,Q4,SCImago 2025
Academic Medicine,Q1,SCImago 2025
Academic Pathology,Q2,SCImago 2025
Academic Pediatrics,Q1,SCImago 2025
Academic Psychiatry,Q2,SCImago 2025
Academic Radiology,Q1,SCImago 2025
Access Microbiology,Q3,SCImago 2025
Accident Analysis and Prevention,Q1,SCImago 2025
Accountability in Research,Q2,SCImago 2025
Accounts of Chemical Research,Q1,SCImago 2025
ACM Transactions on Computing for Healthcare,Q1,SCImago 2025
ACR Open Rheumatology,Q1,SCImago 2025
ACS Applied Bio Materials,Q2,SCImago 2025
ACS Applied Materials and Interfaces,Q1,SCImago 2025
ACS Chemical Biology,Q1,SCImago 2025
ACS Chemical Health and Safety,Q2,SCImago 2025
ACS Chemical Neuroscience,Q1,SCImago 2025
ACS Infectious Diseases,Q1,SCImago 2025
ACS Pharmacology and Translational Science,Q2,SCImago 2025
ACS Synthetic Biology,Q1,SCImago 2025
ACSM's Health and Fitness Journal,Q3,SCImago 2025
Acta Academiae Medicinae Sinicae,Q4,SCImago 2025
Acta Anaesthesiologica Belgica,Q4,SCImago 2025
Acta Anaesthesiologica Scandinavica,Q2,SCImago 2025
Acta Anatomica Sinica,Q4,SCImago 2025
Acta Angiologica,Q4,SCImago 2025
Acta Biochimica et Biophysica Sinica,Q1,SCImago 2025
Acta Bioethica,Q4,SCImago 2025
Acta Biomaterialia,Q1,SCImago 2025
Acta Biomedica,Q3,SCImago 2025
Acta Biotheoretica,Q3,SCImago 2025
Acta Cardiologica,Q3,SCImago 2025
Acta Cardiologica Sinica,Q2,SCImago 2025
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,Q3,SCImago 2025
Acta Chirurgiae Plasticae,Q4,SCImago 2025
Acta Chirurgica Belgica,Q3,SCImago 2025
Acta Cirurgica Brasileira,Q3,SCImago 2025
Acta Clinica Belgica: International Journal of Clinical and Laboratory Medicine,Q3,SCImago 2025
Acta Clinica Croatica,Q3,SCImago 2025
Acta Colombiana de Cuidado Intensivo,Q4,SCImago 2025
Acta Colombiana de Psicologia,Q3,SCImago 2025
"Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials",Q3,SCImago 2025
"Acta crystallographica. Section C, Structural chemistry",Q4,SCImago 2025
Acta Crystallographica Section F:Structural Biology Communications,Q3,SCImago 2025
Acta Cytologica,Q3,SCImago 2025
